"","ShoeName","ratings","prices"
"1","Campus","3.8 out of 5 stars","1,609"
"2","Campus","3.9 out of 5 stars","1,099"
"3","Campus","3.8 out of 5 stars","999"
"4","Campus","3.9 out of 5 stars","1,349"
"5","ASIAN","3.9 out of 5 stars","589"
"6","Campus","4.0 out of 5 stars","750"
"7","DOCTOR EXTRA SOFT","4.1 out of 5 stars","1,199"
"8","Red Tape","4.0 out of 5 stars","2,009"
"9","Sparx","4.1 out of 5 stars","849"
"10","ASIAN","3.8 out of 5 stars","649"
"11","LANCER","3.7 out of 5 stars","599"
"12","ASIAN","3.8 out of 5 stars","599"
"13","Lotto","4.0 out of 5 stars","669"
"14","ASIAN","4.0 out of 5 stars","574"
"15","ASIAN","3.9 out of 5 stars","589"
"16","Campus","4.0 out of 5 stars","944"
"17","ASIAN","3.7 out of 5 stars","709"
"18","Campus","4.1 out of 5 stars","779"
"19","Red Tape","4.0 out of 5 stars","1,449"
"20","ASIAN","3.8 out of 5 stars","699"
"21","Campus","4.0 out of 5 stars","999"
"22","Campus","3.9 out of 5 stars","1,349"
"23","PARAGON","3.3 out of 5 stars","474"
"24","Xiaomi","3.7 out of 5 stars","2,999"
"25","ASIAN","3.9 out of 5 stars","629"
"26","ASIAN","3.9 out of 5 stars","789"
"27","Campus","4.0 out of 5 stars","999"
"28","Red Tape","4.0 out of 5 stars","1,699"
"29","ASIAN","3.8 out of 5 stars","739"
"30","Campus","3.9 out of 5 stars","1,349"
"31","Sparx","4.2 out of 5 stars","996"
"32","ASIAN","3.6 out of 5 stars","639"
"33","Sparx","4.0 out of 5 stars","1,299"
"34","ASIAN","3.7 out of 5 stars","639"
"35","Sparx","4.2 out of 5 stars","649"
"36","ASIAN","3.8 out of 5 stars","599"
"37","ASIAN","3.6 out of 5 stars","539"
"38","Centrino","3.7 out of 5 stars","969"
"39","U.S. POLO ASSN.","3.6 out of 5 stars","1,903"
"40","Bacca Bucci","3.5 out of 5 stars","1,199"
"41","Puma","4.0 out of 5 stars","1,483"
"42","Centrino","3.8 out of 5 stars","879"
"43","Liberty","3.7 out of 5 stars","981"
"44","ASIAN","3.8 out of 5 stars","624"
"45","Campus","3.9 out of 5 stars","1,099"
"46","Adidas","4.0 out of 5 stars","1,458"
"47","Campus","3.9 out of 5 stars","1,349"
"48","Campus","3.9 out of 5 stars","909"
"49","Puma","4.0 out of 5 stars","1,609"
"50","Bata","3.8 out of 5 stars","371"
"51","Sparx","4.0 out of 5 stars","699"
"52","Red Tape","3.9 out of 5 stars","1,724"
"53","ASIAN","4.0 out of 5 stars","639"
"54","Centrino","3.8 out of 5 stars","729"
"55","Red Tape","4.2 out of 5 stars","1,679"
"56","Adidas","4.0 out of 5 stars","1,656"
"57","Campus","4.0 out of 5 stars","999"
"58","Campus","3.9 out of 5 stars","1,649"
"59","ACTION","3.7 out of 5 stars","799"
"60","ABROS","3.9 out of 5 stars","779"
